lead_id,created_at,demo_scheduled_at,delay_hours,priority,parent_timezone,rep_assigned,rep_shift,follow_up_attempts,demo_joined,demo_completed,converted,action
L100181,2026-07-05 13:05:00,2026-07-14 15:42:00,218.61666666666667,HIGH,Europe/London,AD-06,IST_SHIFT,4,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L100421,2026-06-21 08:51:00,2026-06-30 11:03:00,218.2,HIGH,Asia/Dubai,AD-07,IST_SHIFT,5,N,N,N,Attempt to reschedule demo within 48h or escalate
L100690,2026-07-30 18:29:00,2026-08-08 19:58:00,217.48333333333332,HIGH,Asia/Kolkata,AD-01,US_SHIFT,5,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101761,2026-06-23 17:20:00,2026-07-02 17:52:00,216.53333333333333,HIGH,America/New_York,AD-12,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L104331,2026-06-03 00:50:00,2026-06-12 00:01:00,215.18333333333334,HIGH,America/New_York,AD-05,IST_SHIFT,7,Y,N,N,Attempt to reschedule demo within 48h or escalate
L101940,2026-07-27 16:25:00,2026-08-05 14:59:00,214.56666666666666,HIGH,America/New_York,AD-04,US_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103361,2026-07-25 07:41:00,2026-08-03 03:52:00,212.18333333333334,HIGH,Asia/Dubai,AD-10,SEA_SHIFT,8,N,N,N,Attempt to reschedule demo within 48h or escalate
L104731,2026-07-08 04:17:00,2026-07-17 00:16:00,211.98333333333332,HIGH,Asia/Riyadh,AD-07,IST_SHIFT,1,Y,N,N,Attempt to reschedule demo within 48h or escalate
L100965,2026-06-14 02:54:00,2026-06-22 21:16:00,210.36666666666667,HIGH,Asia/Ho_Chi_Minh,AD-09,IST_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L100839,2026-06-26 08:22:00,2026-07-05 02:40:00,210.3,HIGH,America/New_York,AD-03,US_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L102032,2026-06-03 12:25:00,2026-06-12 06:18:00,209.88333333333333,HIGH,Asia/Ho_Chi_Minh,AD-04,US_SHIFT,1,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L104489,2026-07-31 02:07:00,2026-08-08 19:43:00,209.6,HIGH,Australia/Sydney,AD-06,IST_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L101580,2026-06-17 22:40:00,2026-06-26 16:01:00,209.35,HIGH,Australia/Sydney,AD-08,IST_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L101187,2026-06-04 12:12:00,2026-06-13 05:05:00,208.88333333333333,HIGH,Australia/Sydney,AD-06,IST_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L100495,2026-06-09 12:29:00,2026-06-18 04:36:00,208.11666666666667,HIGH,America/New_York,AD-04,US_SHIFT,6,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101983,2026-06-28 04:34:00,2026-07-06 18:09:00,205.58333333333334,HIGH,Asia/Riyadh,AD-10,SEA_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L104164,2026-07-31 00:06:00,2026-08-08 12:59:00,204.88333333333333,HIGH,America/New_York,AD-05,IST_SHIFT,2,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L102788,2026-07-03 19:48:00,2026-07-12 08:36:00,204.8,HIGH,Asia/Ho_Chi_Minh,AD-09,IST_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L102759,2026-07-29 05:16:00,2026-08-06 17:57:00,204.68333333333334,HIGH,Asia/Ho_Chi_Minh,AD-09,IST_SHIFT,5,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L100981,2026-06-14 07:48:00,2026-06-22 19:54:00,204.1,HIGH,Asia/Kolkata,AD-08,IST_SHIFT,7,N,N,N,Attempt to reschedule demo within 48h or escalate
L100103,2026-06-17 00:59:00,2026-06-25 12:32:00,203.55,HIGH,Asia/Riyadh,AD-05,IST_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103514,2026-07-06 21:11:00,2026-07-15 08:34:00,203.38333333333333,HIGH,Australia/Sydney,AD-05,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L101045,2026-07-11 11:57:00,2026-07-19 23:14:00,203.28333333333333,HIGH,America/New_York,AD-05,IST_SHIFT,0,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L102820,2026-07-01 18:44:00,2026-07-10 05:50:00,203.1,HIGH,America/New_York,AD-06,IST_SHIFT,3,Y,N,N,Attempt to reschedule demo within 48h or escalate
L103024,2026-06-10 01:19:00,2026-06-18 10:50:00,201.51666666666668,HIGH,America/New_York,AD-08,IST_SHIFT,3,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L100523,2026-07-14 07:54:00,2026-07-22 16:14:00,200.33333333333334,HIGH,Europe/London,AD-01,US_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L102236,2026-06-03 05:37:00,2026-06-11 12:37:00,199.0,HIGH,America/New_York,AD-06,IST_SHIFT,6,N,N,N,Attempt to reschedule demo within 48h or escalate
L104370,2026-06-17 07:53:00,2026-06-25 14:22:00,198.48333333333332,HIGH,America/New_York,AD-07,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L104674,2026-06-08 21:01:00,2026-06-17 03:02:00,198.01666666666668,HIGH,America/New_York,AD-06,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L102744,2026-06-30 07:20:00,2026-07-08 13:20:00,198.0,HIGH,America/New_York,AD-02,US_SHIFT,0,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L100873,2026-06-13 12:21:00,2026-06-21 18:03:00,197.7,HIGH,Asia/Dubai,AD-01,US_SHIFT,4,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L100444,2026-06-23 04:07:00,2026-07-01 09:11:00,197.06666666666666,HIGH,Asia/Ho_Chi_Minh,AD-05,IST_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L100527,2026-06-04 08:51:00,2026-06-12 12:57:00,196.1,HIGH,America/New_York,AD-02,US_SHIFT,2,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L100608,2026-07-25 18:31:00,2026-08-02 21:50:00,195.31666666666666,HIGH,America/New_York,AD-02,US_SHIFT,1,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L102312,2026-06-16 20:14:00,2026-06-24 21:23:00,193.15,HIGH,Asia/Singapore,AD-02,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L100609,2026-06-19 02:55:00,2026-06-27 04:01:00,193.1,HIGH,Europe/London,AD-02,US_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L104053,2026-06-17 19:21:00,2026-06-25 19:16:00,191.91666666666666,HIGH,Asia/Ho_Chi_Minh,AD-02,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L101786,2026-07-12 05:11:00,2026-07-20 05:02:00,191.85,HIGH,Asia/Riyadh,AD-11,SEA_SHIFT,2,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103576,2026-07-31 16:28:00,2026-08-08 15:05:00,190.61666666666667,HIGH,America/New_York,AD-08,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L101877,2026-06-21 05:24:00,2026-06-29 03:22:00,189.96666666666667,HIGH,Asia/Ho_Chi_Minh,AD-08,IST_SHIFT,6,Y,N,N,Attempt to reschedule demo within 48h or escalate
L101042,2026-07-31 17:04:00,2026-08-08 14:39:00,189.58333333333334,HIGH,Asia/Ho_Chi_Minh,AD-07,IST_SHIFT,2,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L102494,2026-07-08 19:37:00,2026-07-16 15:52:00,188.25,HIGH,America/New_York,AD-06,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L100479,2026-07-28 00:38:00,2026-08-04 20:47:00,188.15,HIGH,America/New_York,AD-12,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L101086,2026-06-19 00:31:00,2026-06-26 20:12:00,187.68333333333334,HIGH,Europe/London,AD-03,US_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L100739,2026-06-26 21:33:00,2026-07-04 16:42:00,187.15,HIGH,Asia/Kolkata,AD-04,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L104244,2026-07-12 02:40:00,2026-07-19 21:06:00,186.43333333333334,HIGH,Asia/Ho_Chi_Minh,AD-01,US_SHIFT,2,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L102048,2026-06-27 08:32:00,2026-07-05 02:36:00,186.06666666666666,HIGH,America/New_York,AD-12,US_SHIFT,1,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103988,2026-07-19 10:53:00,2026-07-27 04:54:00,186.01666666666668,HIGH,America/New_York,AD-02,US_SHIFT,1,Y,N,N,Attempt to reschedule demo within 48h or escalate
L103718,2026-07-04 20:13:00,2026-07-12 13:41:00,185.46666666666667,HIGH,America/New_York,AD-01,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L101909,2026-07-31 20:10:00,2026-08-08 13:21:00,185.18333333333334,HIGH,Asia/Ho_Chi_Minh,AD-02,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L103746,2026-07-05 14:31:00,2026-07-13 07:25:00,184.9,HIGH,America/New_York,AD-05,IST_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L103477,2026-06-29 04:06:00,2026-07-06 20:49:00,184.71666666666667,HIGH,America/New_York,AD-08,IST_SHIFT,1,Y,N,N,Attempt to reschedule demo within 48h or escalate
L100575,2026-06-14 01:03:00,2026-06-21 17:27:00,184.4,HIGH,Asia/Kolkata,AD-08,IST_SHIFT,1,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103830,2026-07-23 11:02:00,2026-07-31 02:25:00,183.38333333333333,HIGH,Asia/Singapore,AD-12,US_SHIFT,5,N,N,N,Attempt to reschedule demo within 48h or escalate
L101912,2026-06-14 03:40:00,2026-06-21 18:56:00,183.26666666666668,HIGH,America/New_York,AD-09,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L104589,2026-07-31 09:56:00,2026-08-08 00:27:00,182.51666666666668,HIGH,America/New_York,AD-02,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L103153,2026-07-14 19:09:00,2026-07-22 09:40:00,182.51666666666668,HIGH,America/New_York,AD-09,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L101822,2026-06-22 16:15:00,2026-06-30 06:29:00,182.23333333333332,HIGH,America/New_York,AD-03,US_SHIFT,6,N,N,N,Attempt to reschedule demo within 48h or escalate
L104332,2026-06-09 03:42:00,2026-06-16 17:11:00,181.48333333333332,HIGH,Asia/Ho_Chi_Minh,AD-06,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L102315,2026-07-26 19:37:00,2026-08-03 08:53:00,181.26666666666668,HIGH,Australia/Sydney,AD-09,IST_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L102589,2026-07-07 02:25:00,2026-07-14 14:53:00,180.46666666666667,HIGH,Australia/Sydney,AD-05,IST_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L103250,2026-06-23 14:47:00,2026-07-01 03:00:00,180.21666666666667,HIGH,Asia/Riyadh,AD-01,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L102013,2026-06-17 02:25:00,2026-06-24 14:29:00,180.06666666666666,HIGH,Asia/Dubai,AD-05,IST_SHIFT,2,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101584,2026-06-23 16:04:00,2026-07-01 04:07:00,180.05,HIGH,Asia/Dubai,AD-11,SEA_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L101696,2026-07-25 13:58:00,2026-08-02 01:57:00,179.98333333333332,HIGH,America/New_York,AD-05,IST_SHIFT,0,Y,N,N,Attempt to reschedule demo within 48h or escalate
L101158,2026-07-14 10:25:00,2026-07-21 21:57:00,179.53333333333333,HIGH,America/New_York,AD-08,IST_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L104831,2026-07-28 01:26:00,2026-08-04 12:31:00,179.08333333333334,HIGH,Asia/Riyadh,AD-06,IST_SHIFT,2,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L104516,2026-07-14 04:10:00,2026-07-21 14:12:00,178.03333333333333,HIGH,Australia/Sydney,AD-01,US_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L102696,2026-06-21 08:49:00,2026-06-28 18:28:00,177.65,HIGH,Europe/London,AD-08,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L101621,2026-07-21 18:05:00,2026-07-29 03:43:00,177.63333333333333,HIGH,America/New_York,AD-09,IST_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L104959,2026-07-20 05:01:00,2026-07-27 14:36:00,177.58333333333334,HIGH,Europe/London,AD-08,IST_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L101998,2026-06-27 04:29:00,2026-07-04 13:37:00,177.13333333333333,HIGH,Asia/Dubai,AD-07,IST_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L104848,2026-07-19 12:35:00,2026-07-26 21:32:00,176.95,HIGH,Europe/London,AD-02,US_SHIFT,4,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L102740,2026-07-22 20:12:00,2026-07-30 04:39:00,176.45,HIGH,Asia/Ho_Chi_Minh,AD-02,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L103254,2026-07-11 04:44:00,2026-07-18 12:33:00,175.81666666666666,HIGH,Australia/Sydney,AD-06,IST_SHIFT,2,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L102495,2026-06-17 19:28:00,2026-06-25 03:15:00,175.78333333333333,HIGH,America/New_York,AD-04,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L100881,2026-06-12 02:56:00,2026-06-19 10:24:00,175.46666666666667,HIGH,America/New_York,AD-06,IST_SHIFT,6,N,N,N,Attempt to reschedule demo within 48h or escalate
L104377,2026-06-28 07:44:00,2026-07-05 14:32:00,174.8,HIGH,Asia/Singapore,AD-12,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L104184,2026-07-11 12:57:00,2026-07-18 19:14:00,174.28333333333333,HIGH,America/New_York,AD-04,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L100513,2026-06-24 19:15:00,2026-07-02 00:26:00,173.18333333333334,HIGH,Asia/Kolkata,AD-10,SEA_SHIFT,2,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103681,2026-06-12 23:04:00,2026-06-20 04:15:00,173.18333333333334,HIGH,Asia/Ho_Chi_Minh,AD-01,US_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L104625,2026-07-09 03:28:00,2026-07-16 07:42:00,172.23333333333332,HIGH,Asia/Singapore,AD-10,SEA_SHIFT,0,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101742,2026-06-02 09:03:00,2026-06-09 13:16:00,172.21666666666667,HIGH,Asia/Dubai,AD-11,SEA_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L101610,2026-06-17 18:16:00,2026-06-24 21:55:00,171.65,HIGH,Asia/Ho_Chi_Minh,AD-10,SEA_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L102341,2026-07-10 10:49:00,2026-07-17 14:12:00,171.38333333333333,HIGH,America/New_York,AD-06,IST_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L103307,2026-06-15 07:19:00,2026-06-22 10:13:00,170.9,HIGH,Asia/Ho_Chi_Minh,AD-07,IST_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L104479,2026-06-26 11:46:00,2026-07-03 14:19:00,170.55,HIGH,America/New_York,AD-01,US_SHIFT,4,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103678,2026-06-09 01:26:00,2026-06-16 03:56:00,170.5,HIGH,America/New_York,AD-09,IST_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L104091,2026-07-28 23:47:00,2026-08-05 01:31:00,169.73333333333332,HIGH,Asia/Dubai,AD-10,SEA_SHIFT,4,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L104058,2026-06-08 15:17:00,2026-06-15 16:27:00,169.16666666666666,HIGH,America/New_York,AD-12,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L102346,2026-07-23 23:11:00,2026-07-30 23:48:00,168.61666666666667,HIGH,America/New_York,AD-01,US_SHIFT,4,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L104368,2026-07-04 21:32:00,2026-07-11 21:43:00,168.18333333333334,HIGH,Australia/Sydney,AD-04,US_SHIFT,7,Y,N,N,Attempt to reschedule demo within 48h or escalate
L104879,2026-07-29 01:24:00,2026-08-05 00:28:00,167.06666666666666,HIGH,Australia/Sydney,AD-05,IST_SHIFT,1,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L101081,2026-07-14 05:10:00,2026-07-21 02:44:00,165.56666666666666,HIGH,Europe/London,AD-08,IST_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L102317,2026-06-17 09:07:00,2026-06-24 06:32:00,165.41666666666666,HIGH,Asia/Kolkata,AD-04,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L104543,2026-07-25 00:39:00,2026-07-31 21:41:00,165.03333333333333,HIGH,Asia/Riyadh,AD-09,IST_SHIFT,4,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L100123,2026-06-25 18:47:00,2026-07-02 14:53:00,164.1,HIGH,Europe/London,AD-04,US_SHIFT,4,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L104834,2026-06-14 22:16:00,2026-06-21 18:16:00,164.0,HIGH,Asia/Kolkata,AD-06,IST_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L101647,2026-06-14 19:05:00,2026-06-21 15:00:00,163.91666666666666,HIGH,America/New_York,AD-08,IST_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103808,2026-07-01 09:06:00,2026-07-08 04:28:00,163.36666666666667,HIGH,Europe/London,AD-03,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L103767,2026-07-24 22:46:00,2026-07-31 18:01:00,163.25,HIGH,Asia/Dubai,AD-01,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L102907,2026-06-30 19:09:00,2026-07-07 14:15:00,163.1,HIGH,America/New_York,AD-08,IST_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L104322,2026-07-13 19:40:00,2026-07-20 14:38:00,162.96666666666667,HIGH,America/New_York,AD-01,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L104280,2026-07-28 22:35:00,2026-08-04 17:20:00,162.75,HIGH,America/New_York,AD-04,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L100691,2026-07-12 15:57:00,2026-07-19 10:37:00,162.66666666666666,HIGH,America/New_York,AD-12,US_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L101120,2026-06-05 20:16:00,2026-06-12 14:42:00,162.43333333333334,HIGH,Asia/Riyadh,AD-07,IST_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L102690,2026-07-06 13:25:00,2026-07-13 07:24:00,161.98333333333332,HIGH,America/New_York,AD-08,IST_SHIFT,5,N,N,N,Attempt to reschedule demo within 48h or escalate
L102774,2026-06-20 23:37:00,2026-06-27 17:32:00,161.91666666666666,HIGH,America/New_York,AD-11,SEA_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L104435,2026-06-06 05:46:00,2026-06-12 23:36:00,161.83333333333334,HIGH,Asia/Kolkata,AD-05,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L100159,2026-07-22 18:53:00,2026-07-29 12:29:00,161.6,HIGH,Asia/Singapore,AD-04,US_SHIFT,1,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L102659,2026-07-09 10:55:00,2026-07-16 04:17:00,161.36666666666667,HIGH,Europe/London,AD-12,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L100484,2026-06-02 15:03:00,2026-06-09 08:06:00,161.05,HIGH,Australia/Sydney,AD-12,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L100023,2026-07-29 01:49:00,2026-08-04 18:45:00,160.93333333333334,HIGH,Asia/Ho_Chi_Minh,AD-09,IST_SHIFT,4,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103534,2026-06-01 06:38:00,2026-06-07 23:25:00,160.78333333333333,HIGH,Europe/London,AD-01,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L100627,2026-06-11 06:43:00,2026-06-17 23:16:00,160.55,HIGH,Australia/Sydney,AD-09,IST_SHIFT,3,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L101485,2026-07-01 00:49:00,2026-07-07 17:04:00,160.25,HIGH,Asia/Singapore,AD-10,SEA_SHIFT,6,Y,Y,N,Attempt to reschedule demo within 48h or escalate
